organisation,short_name,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,reduction_pct,transfer_pct,residual_pct,accountability_pct,dedicated_document,group,coding_confidence,note,correction_note,correction_date
Christian Aid,Christian Aid,0,1,1,2,2,1,1,1,1,1,1,1,1,67,100,72,100,yes,announced,medium-high,Dedicated shift-of-power report,,
Plan International UK,Plan Intl UK,1,1,0,1,2,1,1,1,0,1,1,1,1,67,83,67,100,yes,comparison,medium-high,Dedicated Pledge for Change self-report,,
STIR Education,STIR Education,1,1,1,1,2,0,1,1,2,1,1,1,,100,67,78,100,yes,announced,medium-high,Planned spin-out; headcount rose,,
HelpAge International,HelpAge Intl,0,1,1,2,2,0,1,1,1,1,0,1,1,67,83,72,67,yes,comparison,medium-high,"11 office transitions, named successors, dated",,
ActionAid,ActionAid,0,1,1,2,2,1,0,1,2,1,0,0,1,67,83,78,33,no,announced,medium-high,Federation decentralised before the shock,,
Save the Children International,SCI,1,1,1,2,1,1,1,1,1,0,1,0,1,100,83,39,67,yes,announced,medium-high,"Headcount 16,153 (2023: 19,548); partner spend 16% to 20%; CBPF exit dated",,
War Child UK,War Child UK,0,1,1,1,2,0,1,1,4,1,0,0,0,67,67,89,0,no,comparison,medium-high,Restructured into Alliance Foundation,,
Islamic Relief Worldwide,Islamic Relief,,,,1,2,0,0,1,0,0,0,1,1,,50,33,67,no,comparison,low,No restructuring disclosed,,
CAFOD,CAFOD,0,1,1,1,2,1,0,1,0,0,0,1,0,67,67,33,33,no,comparison,medium-high,"Cost reduction, partner reduction flagged",,
CARE International UK,CARE Intl UK,1,1,1,1,2,0,0,0,1,0,0,1,0,100,50,6,33,no,comparison,medium-high,20% of roles cut; unreported in trade press,,
Amref Health Africa UK,Amref UK,,,,1,2,0,0,1,0,0,0,0,,,50,33,0,no,comparison,medium-high,No restructure; names a successor for its work in advance,,
Save the Children UK,Save the Children UK,1,1,1,1,1,0,0,1,1,0,0,0,0,100,33,39,0,no,announced,medium-high,AR2025: staff 779 (2024: 913); £9m annualised gross savings,,
Leonard Cheshire,Leonard Cheshire,1,1,1,1,1,0,0,1,1,0,0,0,,100,33,39,0,no,announced,medium-high,Full international withdrawal,,
International Rescue Committee UK,IRC UK,0,1,0,0,0,0,0,1,1,1,0,0,0,33,0,72,0,no,announced,medium-high,"Affiliate structure, not a transfer",,
Tearfund,Tearfund,0,1,1,1,1,0,0,1,0,0,0,0,0,67,33,33,0,no,announced,medium-high,"AR2024/25: redundancy and severance £179k (2023/24: £1,611k)",,
Motivation,Motivation,0,1,0,1,2,0,0,0,0,0,0,0,,33,50,0,0,no,announced,medium-high,FY2024 report signed 15 Sep 2025 on a going-concern basis,,
Concern Worldwide,Concern Worldwide,1,0,1,0,0,0,0,1,1,0,0,0,0,67,0,39,0,no,announced,medium-high,"879 staff cut, 3 country closures, no transfer",,
Sense / Sense International,Sense,,,,1,1,0,0,0,0,0,0,0,,,33,0,0,no,comparison,medium-high,Own accounts show no restructure; income and reserves both rose,,
Oxfam GB,Oxfam GB,0,0,0,0,1,0,0,0,1,0,0,0,0,0,17,6,0,no,announced,low,AR covering restructure not yet published,,
World Vision UK,World Vision UK,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,no,announced,low,"Two restructures, no transfer described",,
VSO,VSO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,no,announced,medium-high,Country exits absent from own record,,
Crown Agents,Crown Agents,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,no,announced,medium-high,No post-2022 accounts ever filed,,
Mercy Corps Europe,Mercy Corps Europe,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,no,announced,low,Financial review unreachable,,
